Telonics Data Report
Report Format,Condensed,1
Headers Row,23
Data Source,Argos
TDC Version,1.65 SECO1349

CTN,630234B
Comment,
Argos ID,117335

Report Period Begins,2012.04.27 21:16:17
Report Period Ends,2012.10.23 01:56:43

Report File Number,1 of 1
File Coverage Begins,2012.04.27 21:16:17
File Coverage Ends,2012.10.23 01:56:43

Measurement Units,,,degrees,degrees,meters,,degrees,degrees,,meters,meters,degrees C,Hit,,,,Yes/No,Yes/No,Yes/No,
Resolution,,,,,,,0.000043,0.000043,,5,5,,,,,,,,,
Range Minimum,,,,,,,-90.000000,-180.000000,,,,-40,,,,,,,,
Range Maximum,,,,,,,90.000000,180.000000,,,,70,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Argos Location Class,Argos Latitude,Argos Longitude,Argos Altitude,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,Temperature,Satellite Uplink,Receive Time,Satellite Name,Repetition Count,Low Voltage,Mortality,Predeployment Data,Error
2012.04.27 21:16:17,2012.04.27 21:16:17,A,33.385,-111.814,352,,,,,,,,,2012.04.27 21:16:17,P,3,,,,
2012.04.27 21:17:50,2012.04.27 21:17:50,,,,,,,,,,,,Hit,2012.04.27 21:17:50,P,2,No,No,Yes,
2012.04.27 21:19:22,2012.04.27 21:19:22,,,,,,,,,,,,Hit,2012.04.27 21:19:22,P,1,No,No,,CRC Error
2012.04.27 21:20:53,2012.04.27 21:20:53,3,33.383,-111.809,351,,,,,,,,,2012.04.27 21:20:53,N,5,,,,
2012.04.27 21:23:58,2012.04.27 21:23:58,,,,,,,,,,,,Hit,2012.04.27 21:23:58,N,5,No,No,Yes,
2012.04.27 23:05:10,2012.04.27 23:05:10,,,,,,,,,,,,Hit,2012.04.27 23:05:10,N,1,No,No,,CRC Error
2012.04.27 23:06:41,2012.04.27 23:06:41,A,33.385,-111.808,352,,,,,,,,,2012.04.27 23:06:41,N,3,,,,
2012.04.27 23:08:14,2012.04.27 23:08:14,,,,,,,,,,,,Hit,2012.04.27 23:08:14,N,2,No,No,Yes,Invalid Page
2012.04.27 23:58:49,2012.04.27 23:58:49,B,33.391,-111.814,353,,,,,,,,,2012.04.27 23:58:49,K,2,,,,
2012.04.28 00:00:22,2012.04.28 00:00:22,,,,,,,,,,,,Hit,2012.04.28 00:00:22,K,2,No,No,Yes,Invalid Page
2012.04.30 13:09:09,2012.04.30 13:09:09,3,33.383,-111.809,352,,,,,,,,,2012.04.30 13:09:09,K,8,,,,
2012.04.30 13:19:08,2012.04.30 13:19:08,,,,,,,,,,,,Hit,2012.04.30 13:19:08,K,8,No,No,Yes,
2012.04.30 13:34:28,2012.04.30 13:34:28,B,33.380,-111.816,352,,,,,,,,,2012.04.30 13:34:28,M,2,,,,
2012.04.30 13:34:28,2012.04.30 13:34:28,,,,,,,,,,,,Hit,2012.04.30 13:34:28,M,1,No,No,,CRC Error
2012.04.30 13:36:01,2012.04.30 13:36:01,,,,,,,,,,,,Hit,2012.04.30 13:36:01,M,1,No,No,Yes,
2012.04.30 14:45:04,2012.04.30 14:45:04,B,33.380,-111.814,352,,,,,,,,,2012.04.30 14:45:04,L,2,,,,
2012.04.30 14:48:09,2012.04.30 14:48:09,,,,,,,,,,,,Hit,2012.04.30 14:48:09,L,2,No,No,Yes,Invalid Page
2012.04.30 15:11:09,2012.04.30 15:11:09,0,33.384,-111.803,361,,,,,,,,,2012.04.30 15:11:09,M,9,,,,
2012.04.30 15:23:26,2012.04.30 15:23:26,,,,,,,,,,,,Hit,2012.04.30 15:23:26,M,9,No,No,Yes,Invalid Page
2012.06.01 19:59:32,2012.06.01 19:59:32,3,64.881,-147.886,202,,,,,,,,,2012.06.01 19:59:32,L,4,,,,
2012.06.01 20:02:36,2012.06.01 20:02:36,,,,,,,,,,,,Hit,2012.06.01 20:02:36,L,4,No,No,Yes,
2012.06.01 20:04:08,2012.06.01 20:04:08,B,64.874,-147.856,180,,,,,,,,,2012.06.01 20:04:08,K,2,,,,
2012.06.01 20:05:40,2012.06.01 20:05:40,,,,,,,,,,,,Hit,2012.06.01 20:05:40,K,2,No,No,Yes,
2012.06.01 20:12:34,2012.06.01 20:12:34,2,64.875,-147.863,180,,,,,,,,,2012.06.01 20:12:34,N,4,,,,
2012.06.01 20:13:20,2012.06.01 20:13:20,3,64.877,-147.876,187,,,,,,,,,2012.06.01 20:13:20,P,5,,,,
2012.06.01 20:14:52,2012.06.01 20:14:52,,,,,,,,,,,,Hit,2012.06.01 20:14:52,N,4,No,No,Yes,
2012.06.01 20:21:00,2012.06.01 20:21:00,,,,,,,,,,,,Hit,2012.06.01 20:21:00,P,5,No,No,Yes,
2012.06.01 20:51:40,2012.06.01 20:51:40,,,,,,,,,,,,Hit,2012.06.01 20:51:40,M,1,No,No,,CRC Error
2012.06.01 20:52:26,2012.06.01 20:52:26,3,64.880,-147.862,197,,,,,,,,,2012.06.01 20:52:26,M,6,,,,
2012.06.01 20:54:44,2012.06.01 20:54:44,2,64.877,-147.858,185,,,,,,,,Hit,2012.06.01 20:54:44,A,1,No,No,Yes,
2012.06.01 20:56:16,2012.06.01 20:56:16,,,,,,,,,,,,Hit,2012.06.01 20:56:16,M,4,No,No,Yes,
2012.06.01 20:57:48,2012.06.01 20:57:48,,,,,,,,,,,,Hit,2012.06.01 20:57:48,M,1,No,No,Yes,Invalid Page
2012.06.01 21:02:24,2012.06.01 21:02:24,,,,,,,,,,,,Hit,2012.06.01 21:02:24,A,2,No,No,Yes,Invalid Page
2012.06.01 21:03:56,2012.06.01 21:03:56,,,,,,,,,,,,Hit,2012.06.01 21:03:56,A,1,No,No,,CRC Error
2012.06.01 21:35:21,2012.06.01 21:35:21,3,64.877,-147.863,184,,,,,,,,,2012.06.01 21:35:21,L,5,,,,
2012.06.01 21:37:40,2012.06.01 21:37:40,,,,,,,,,,,,Hit,2012.06.01 21:37:40,L,1,No,No,,CRC Error
2012.06.01 21:42:15,2012.06.01 21:42:15,3,64.880,-147.867,194,,,,,,,,,2012.06.01 21:42:15,K,5,,,,
2012.06.01 21:42:16,2012.06.01 21:42:16,,,,,,,,,,,,Hit,2012.06.01 21:42:16,L,4,No,No,Yes,Invalid Page
2012.06.01 21:45:20,2012.06.01 21:45:20,,,,,,,,,,,,Hit,2012.06.01 21:45:20,K,3,No,No,Yes,Invalid Page
2012.06.01 21:46:52,2012.06.01 21:46:52,,,,,,,,,,,,Hit,2012.06.01 21:46:52,K,1,No,No,,CRC Error
2012.06.01 21:48:24,2012.06.01 21:48:24,,,,,,,,,,,,Hit,2012.06.01 21:48:24,K,1,No,No,,CRC Error
2012.06.01 21:49:09,2012.06.01 21:49:09,B,64.883,-147.867,207,,,,,,,,,2012.06.01 21:49:09,N,2,,,,
2012.06.01 21:49:56,2012.06.01 21:49:56,,,,,,,,,,,,Hit,2012.06.01 21:49:56,N,2,No,No,Yes,Invalid Page
2012.06.01 21:52:59,2012.06.01 21:52:59,1,64.882,-147.868,205,,,,,,,,,2012.06.01 21:52:59,P,6,,,,
2012.06.01 21:53:00,2012.06.01 21:53:00,,,,,,,,,,,,Hit,2012.06.01 21:53:00,P,1,No,No,,CRC Error
2012.06.01 21:56:04,2012.06.01 21:56:04,,,,,,,,,,,,Hit,2012.06.01 21:56:04,P,3,No,No,Yes,Invalid Page
2012.06.01 22:00:53,2012.06.01 22:00:53,,,,,,,,,,,,Hit,2012.06.01 22:00:53,P,2,No,No,Yes,Invalid Page
2012.06.01 22:28:28,2012.06.01 22:28:28,B,64.882,-147.870,204,,,,,,,,,2012.06.01 22:28:28,M,2,,,,
2012.06.01 22:30:00,2012.06.01 22:30:00,,,,,,,,,,,,Hit,2012.06.01 22:30:00,M,2,No,No,Yes,Invalid Page
2012.06.01 22:34:36,2012.06.01 22:34:36,3,64.880,-147.874,198,,,,,,,,,2012.06.01 22:34:36,A,4,,,,
2012.06.01 22:43:48,2012.06.01 22:43:48,,,,,,,,,,,,Hit,2012.06.01 22:43:48,A,4,No,No,Yes,Invalid Page
2012.06.01 23:15:27,2012.06.01 23:15:27,B,64.883,-147.863,204,,,,,,,,,2012.06.01 23:15:27,L,2,,,,
2012.06.01 23:16:13,2012.06.01 23:16:13,,,,,,,,,,,,Hit,2012.06.01 23:16:13,L,2,No,No,Yes,Invalid Page
2012.06.01 23:24:11,2012.06.01 23:24:11,3,64.883,-147.862,206,,,,,,,,,2012.06.01 23:24:11,K,5,,,,
2012.06.01 23:28:29,2012.06.01 23:28:29,,,,,,,,,,,,Hit,2012.06.01 23:28:29,K,5,No,No,Yes,Invalid Page
2012.06.01 23:30:56,2012.06.01 23:30:56,1,64.878,-147.872,186,,,,,,,,,2012.06.01 23:30:56,N,6,,,,
2012.06.01 23:37:41,2012.06.01 23:37:41,,,,,,,,,,,,Hit,2012.06.01 23:37:41,N,6,No,No,Yes,Invalid Page
2012.06.01 23:38:27,2012.06.01 23:38:27,3,64.878,-147.876,193,,,,,,,,,2012.06.01 23:38:27,P,6,,,,
2012.06.01 23:42:17,2012.06.01 23:42:17,,,,,,,,,,,,Hit,2012.06.01 23:42:17,P,6,No,No,Yes,Invalid Page
2012.06.04 20:02:03,2012.06.04 20:02:03,B,64.893,-147.934,194,,,,,,,,,2012.06.04 20:02:03,A,2,,,,
2012.06.04 20:02:03,2012.06.04 20:02:03,,,,,,,,,,,,Hit,2012.06.04 20:02:03,A,2,No,Yes,No,Invalid Page
2012.06.04 20:30:45,2012.06.04 20:30:45,,,,,,,,,,,,Hit,2012.06.04 20:30:45,K,1,No,Yes,,CRC Error
2012.06.04 20:31:46,2012.06.04 20:31:46,B,64.873,-147.860,178,,,,,,,,,2012.06.04 20:31:46,K,2,,,,
2012.06.04 20:32:48,2012.06.04 20:32:48,,,,,,,,,,,,Hit,2012.06.04 20:32:48,K,1,No,Yes,No,Invalid Page
2012.06.04 21:01:29,2012.06.04 21:01:29,B,64.875,-147.857,181,,,,,,,,,2012.06.04 21:01:29,L,1,,,,
2012.06.04 21:01:30,2012.06.04 21:01:30,,,,,,,,,,,,Hit,2012.06.04 21:01:30,L,1,No,Yes,No,Invalid Page
2012.06.04 21:19:15,2012.06.04 21:19:15,A,64.882,-147.867,206,,,,,,,,,2012.06.04 21:19:15,N,3,,,,
2012.06.04 21:21:59,2012.06.04 21:21:59,A,64.881,-147.861,197,,,,,,,,,2012.06.04 21:21:59,M,3,,,,
2012.06.04 21:22:00,2012.06.04 21:22:00,,,,,,,,,,,,Hit,2012.06.04 21:22:00,N,3,No,Yes,No,Invalid Page
2012.06.04 21:24:03,2012.06.04 21:24:03,,,,,,,,,,,,Hit,2012.06.04 21:24:03,M,3,No,Yes,No,Invalid Page
2012.06.04 21:28:08,2012.06.04 21:28:08,A,64.881,-147.867,199,,,,,,,,,2012.06.04 21:28:08,P,3,,,,
2012.06.04 21:30:12,2012.06.04 21:30:12,,,,,,,,,,,,Hit,2012.06.04 21:30:12,P,3,No,Yes,No,Invalid Page
2012.06.04 21:32:14,2012.06.04 21:32:14,3,64.880,-147.868,198,,,,,,,,,2012.06.04 21:32:14,A,6,,,,
2012.06.04 21:40:27,2012.06.04 21:40:27,,,,,,,,,,,,Hit,2012.06.04 21:40:27,A,5,No,Yes,No,Invalid Page
2012.06.04 21:42:30,2012.06.04 21:42:30,,,,,,,,,,,,Hit,2012.06.04 21:42:30,A,1,No,Yes,,CRC Error
2012.06.04 22:12:13,2012.06.04 22:12:13,B,64.881,-147.866,198,,,,,,,,,2012.06.04 22:12:13,K,2,,,,
2012.06.04 22:13:15,2012.06.04 22:13:15,,,,,,,,,,,,Hit,2012.06.04 22:13:15,K,2,No,Yes,No,Invalid Page
2012.06.04 22:37:50,2012.06.04 22:37:50,B,64.881,-147.862,196,,,,,,,,,2012.06.04 22:37:50,L,2,,,,
2012.06.04 22:39:54,2012.06.04 22:39:54,,,,,,,,,,,,Hit,2012.06.04 22:39:54,L,2,No,Yes,No,Invalid Page
2012.06.04 22:58:20,2012.06.04 22:58:20,B,64.881,-147.860,195,,,,,,,,,2012.06.04 22:58:20,M,1,,,,
2012.06.04 22:58:21,2012.06.04 22:58:21,,,,,,,,,,,,Hit,2012.06.04 22:58:21,M,1,No,Yes,No,Invalid Page
2012.06.04 23:02:26,2012.06.04 23:02:26,B,64.879,-147.860,192,,,,,,,,,2012.06.04 23:02:26,N,1,,,,
2012.06.04 23:02:27,2012.06.04 23:02:27,,,,,,,,,,,,Hit,2012.06.04 23:02:27,N,1,No,Yes,No,Invalid Page
2012.06.04 23:08:35,2012.06.04 23:08:35,A,64.882,-147.867,203,,,,,,,,,2012.06.04 23:08:35,P,3,,,,
2012.06.04 23:08:36,2012.06.04 23:08:36,,,,,,,,,,,,Hit,2012.06.04 23:08:36,P,2,No,Yes,No,Invalid Page
2012.06.04 23:10:39,2012.06.04 23:10:39,,,,,,,,,,,,Hit,2012.06.04 23:10:39,P,1,No,Yes,,CRC Error
2012.06.04 23:12:41,2012.06.04 23:12:41,3,64.881,-147.867,202,,,,,,,,,2012.06.04 23:12:41,A,4,,,,
2012.06.04 23:18:51,2012.06.04 23:18:51,,,,,,,,,,,,Hit,2012.06.04 23:18:51,A,3,No,Yes,No,Invalid Page
2012.06.04 23:20:54,2012.06.04 23:20:54,,,,,,,,,,,,Hit,2012.06.04 23:20:54,A,1,No,Yes,,CRC Error
2012.06.04 23:49:35,2012.06.04 23:49:35,B,64.880,-147.866,193,,,,,,,,,2012.06.04 23:49:35,K,2,,,,
2012.06.04 23:49:36,2012.06.04 23:49:36,,,,,,,,,,,,Hit,2012.06.04 23:49:36,K,1,No,Yes,No,Invalid Page
2012.06.04 23:53:42,2012.06.04 23:53:42,,,,,,,,,,,,Hit,2012.06.04 23:53:42,K,1,No,Yes,,CRC Error
2012.06.05 00:19:19,2012.06.05 00:19:19,B,64.880,-147.854,181,,,,,,,,,2012.06.05 00:19:19,L,2,,,,
2012.06.05 00:20:21,2012.06.05 00:20:21,,,,,,,,,,,,Hit,2012.06.05 00:20:21,L,2,No,Yes,No,Invalid Page
2012.06.05 00:36:45,2012.06.05 00:36:45,A,64.879,-147.869,194,,,,,,,,,2012.06.05 00:36:45,M,3,,,,
2012.06.05 00:38:48,2012.06.05 00:38:48,,,,,,,,,,,,Hit,2012.06.05 00:38:48,M,3,No,Yes,No,Invalid Page
2012.06.05 00:39:49,2012.06.05 00:39:49,3,64.879,-147.866,190,,,,,,,,,2012.06.05 00:39:49,N,4,,,,
2012.06.05 00:44:57,2012.06.05 00:44:57,,,,,,,,,,,,Hit,2012.06.05 00:44:57,N,4,No,Yes,No,Invalid Page
2012.06.05 00:49:03,2012.06.05 00:49:03,A,64.879,-147.865,189,,,,,,,,,2012.06.05 00:49:03,P,3,,,,
2012.06.05 00:51:06,2012.06.05 00:51:06,,,,,,,,,,,,Hit,2012.06.05 00:51:06,P,3,No,Yes,No,Invalid Page
2012.06.05 00:53:09,2012.06.05 00:53:09,B,64.879,-147.865,190,,,,,,,,,2012.06.05 00:53:09,A,1,,,,
2012.06.05 00:53:09,2012.06.05 00:53:09,,,,,,,,,,,,Hit,2012.06.05 00:53:09,A,1,No,Yes,No,Invalid Page
2012.06.05 01:25:57,2012.06.05 01:25:57,,,,,,,,,,,,Hit,2012.06.05 01:25:57,K,1,No,Yes,No,Invalid Page
2012.06.05 01:25:57,2012.06.05 01:25:57,B,64.881,-147.865,197,,,,,,,,,2012.06.05 01:25:57,K,2,,,,
2012.06.05 01:32:06,2012.06.05 01:32:06,,,,,,,,,,,,Hit,2012.06.05 01:32:06,K,1,No,Yes,,CRC Error
2012.06.05 01:54:39,2012.06.05 01:54:39,B,64.881,-147.864,197,,,,,,,,,2012.06.05 01:54:39,L,1,,,,
2012.06.05 01:54:39,2012.06.05 01:54:39,,,,,,,,,,,,Hit,2012.06.05 01:54:39,L,1,No,Yes,,CRC Error
2012.06.09 20:00:00,2012.06.09 20:00:00,,,,,,,,,,,,Hit,2012.06.09 20:00:00,A,1,No,Yes,No,Invalid Page
2012.06.09 20:00:00,2012.06.09 20:00:00,,,,,,,,,,,,Hit,2012.06.09 20:00:00,L,1,No,Yes,,CRC Error
2012.06.09 20:02:03,2012.06.09 20:02:03,2,64.878,-147.859,186,,,,,,,,,2012.06.09 20:02:03,L,5,,,,
2012.06.09 20:08:12,2012.06.09 20:08:12,,,,,,,,,,,,Hit,2012.06.09 20:08:12,L,4,No,Yes,No,Invalid Page
2012.06.09 20:25:37,2012.06.09 20:25:37,B,64.881,-147.865,187,,,,,,,,,2012.06.09 20:25:37,N,2,,,,
2012.06.09 20:26:39,2012.06.09 20:26:39,,,,,,,,,,,,Hit,2012.06.09 20:26:39,N,2,No,Yes,No,Invalid Page
2012.06.09 20:28:42,2012.06.09 20:28:42,3,64.879,-147.871,197,,,,,,,,,2012.06.09 20:28:42,P,4,,,,
2012.06.09 20:32:48,2012.06.09 20:32:48,,,,,,,,,,,,Hit,2012.06.09 20:32:48,P,1,No,Yes,,CRC Error
2012.06.09 20:34:51,2012.06.09 20:34:51,,,,,,,,,,,,Hit,2012.06.09 20:34:51,P,2,No,Yes,No,Invalid Page
2012.06.09 20:36:54,2012.06.09 20:36:54,,,,,,,,,,,,Hit,2012.06.09 20:36:54,P,1,No,Yes,,CRC Error
2012.06.09 21:00:28,2012.06.09 21:00:28,A,64.880,-147.882,199,,,,,,,,,2012.06.09 21:00:28,M,3,,,,
2012.06.09 21:01:30,2012.06.09 21:01:30,,,,,,,,,,,,Hit,2012.06.09 21:01:30,M,2,No,Yes,No,Invalid Page
2012.06.09 21:05:36,2012.06.09 21:05:36,,,,,,,,,,,,Hit,2012.06.09 21:05:36,M,1,No,Yes,,CRC Error
2012.06.09 21:32:15,2012.06.09 21:32:15,,,,,,,,,,,,Hit,2012.06.09 21:32:15,A,1,No,Yes,,CRC Error
2012.06.09 21:33:16,2012.06.09 21:33:16,3,64.880,-147.870,200,,,,,,,,,2012.06.09 21:33:16,A,4,,,,
2012.06.09 21:36:21,2012.06.09 21:36:21,,,,,,,,,,,,Hit,2012.06.09 21:36:21,A,3,No,Yes,No,Invalid Page
2012.06.09 21:40:27,2012.06.09 21:40:27,3,64.879,-147.869,196,,,,,,,,,2012.06.09 21:40:27,L,4,,,,
2012.06.09 21:42:30,2012.06.09 21:42:30,,,,,,,,,,,,Hit,2012.06.09 21:42:30,L,1,No,Yes,,CRC Error
2012.06.09 21:46:36,2012.06.09 21:46:36,,,,,,,,,,,,Hit,2012.06.09 21:46:36,L,3,No,Yes,No,Invalid Page
2012.06.09 21:48:39,2012.06.09 21:48:39,B,64.880,-147.866,193,,,,,,,,,2012.06.09 21:48:39,K,2,,,,
2012.06.09 21:50:42,2012.06.09 21:50:42,,,,,,,,,,,,Hit,2012.06.09 21:50:42,K,2,No,Yes,No,Invalid Page
2012.06.09 22:03:00,2012.06.09 22:03:00,,,,,,,,,,,,Hit,2012.06.09 22:03:00,N,1,No,Yes,,CRC Error
2012.06.09 22:03:00,2012.06.09 22:03:00,A,64.880,-147.872,200,,,,,,,,,2012.06.09 22:03:00,N,3,,,,
2012.06.09 22:05:03,2012.06.09 22:05:03,,,,,,,,,,,,Hit,2012.06.09 22:05:03,N,2,No,Yes,No,Invalid Page
2012.06.09 22:09:09,2012.06.09 22:09:09,2,64.879,-147.868,194,,,,,,,,,2012.06.09 22:09:09,P,4,,,,
2012.06.09 22:13:15,2012.06.09 22:13:15,,,,,,,,,,,,Hit,2012.06.09 22:13:15,P,3,No,Yes,No,Invalid Page
2012.06.09 22:15:18,2012.06.09 22:15:18,,,,,,,,,,,,Hit,2012.06.09 22:15:18,P,1,No,Yes,,CRC Error
2012.06.09 22:39:53,2012.06.09 22:39:53,B,64.880,-147.869,201,,,,,,,,,2012.06.09 22:39:53,M,1,,,,
2012.06.09 22:39:54,2012.06.09 22:39:54,,,,,,,,,,,,Hit,2012.06.09 22:39:54,M,1,No,Yes,No,Invalid Page
2012.06.09 23:14:44,2012.06.09 23:14:44,B,64.879,-147.866,190,,,,,,,,,2012.06.09 23:14:44,A,2,,,,
2012.06.09 23:14:45,2012.06.09 23:14:45,,,,,,,,,,,,Hit,2012.06.09 23:14:45,A,1,No,Yes,,CRC Error
2012.06.09 23:16:48,2012.06.09 23:16:48,,,,,,,,,,,,Hit,2012.06.09 23:16:48,A,1,No,Yes,No,Invalid Page
2012.06.09 23:18:50,2012.06.09 23:18:50,B,64.877,-147.865,186,,,,,,,,,2012.06.09 23:18:50,L,2,,,,
2012.06.09 23:18:51,2012.06.09 23:18:51,,,,,,,,,,,,Hit,2012.06.09 23:18:51,L,1,No,Yes,No,Invalid Page
2012.06.09 23:22:57,2012.06.09 23:22:57,,,,,,,,,,,,Hit,2012.06.09 23:22:57,L,1,No,Yes,,CRC Error
2012.06.09 23:27:03,2012.06.09 23:27:03,,,,,,,,,,,,Hit,2012.06.09 23:27:03,K,1,No,Yes,,CRC Error
2012.06.09 23:30:07,2012.06.09 23:30:07,3,64.879,-147.868,192,,,,,,,,,2012.06.09 23:30:07,K,4,,,,
2012.06.09 23:33:12,2012.06.09 23:33:12,,,,,,,,,,,,Hit,2012.06.09 23:33:12,K,3,No,Yes,No,Invalid Page
2012.06.09 23:45:29,2012.06.09 23:45:29,A,64.881,-147.869,202,,,,,,,,,2012.06.09 23:45:29,N,3,,,,
2012.06.09 23:47:33,2012.06.09 23:47:33,,,,,,,,,,,,Hit,2012.06.09 23:47:33,N,3,No,Yes,No,Invalid Page
2012.06.09 23:55:44,2012.06.09 23:55:44,A,64.880,-147.868,197,,,,,,,,,2012.06.09 23:55:44,P,3,,,,
2012.06.09 23:57:48,2012.06.09 23:57:48,,,,,,,,,,,,Hit,2012.06.09 23:57:48,P,3,No,Yes,No,Invalid Page
2012.06.10 00:20:21,2012.06.10 00:20:21,B,64.880,-147.868,197,,,,,,,,,2012.06.10 00:20:21,M,1,,,,
2012.06.10 00:20:22,2012.06.10 00:20:22,,,,,,,,,,,,Hit,2012.06.10 00:20:22,M,1,No,Yes,No,Invalid Page
2012.06.10 00:49:03,2012.06.10 00:49:03,B,64.880,-147.867,196,,,,,,,,,2012.06.10 00:49:03,A,1,,,,
2012.06.10 00:49:04,2012.06.10 00:49:04,,,,,,,,,,,,Hit,2012.06.10 00:49:04,A,1,No,Yes,No,Invalid Page
2012.06.10 00:59:18,2012.06.10 00:59:18,,,,,,,,,,,,Hit,2012.06.10 00:59:18,L,1,No,Yes,No,Invalid Page
2012.06.10 00:59:18,2012.06.10 00:59:18,A,64.878,-147.867,190,,,,,,,,,2012.06.10 00:59:18,L,3,,,,
2012.06.10 01:01:21,2012.06.10 01:01:21,,,,,,,,,,,,Hit,2012.06.10 01:01:21,L,2,No,Yes,No,Invalid Page
2012.06.10 01:09:33,2012.06.10 01:09:33,A,64.879,-147.874,196,,,,,,,,,2012.06.10 01:09:33,K,3,,,,
2012.06.10 01:09:33,2012.06.10 01:09:33,,,,,,,,,,,,Hit,2012.06.10 01:09:33,K,1,No,Yes,No,Invalid Page
2012.06.10 01:11:36,2012.06.10 01:11:36,,,,,,,,,,,,Hit,2012.06.10 01:11:36,K,2,No,Yes,No,Invalid Page
2012.06.10 01:25:57,2012.06.10 01:25:57,A,64.878,-147.867,188,,,,,,,,,2012.06.10 01:25:57,N,3,,,,
2012.06.10 01:25:57,2012.06.10 01:25:57,,,,,,,,,,,,Hit,2012.06.10 01:25:57,N,1,No,Yes,No,Invalid Page
2012.06.10 01:28:00,2012.06.10 01:28:00,,,,,,,,,,,,Hit,2012.06.10 01:28:00,N,2,No,Yes,No,Invalid Page
2012.06.10 01:56:42,2012.06.10 01:56:42,,,,,,,,,,,,Hit,2012.06.10 01:56:42,M,1,No,Yes,No,Invalid Page
2012.06.10 01:56:42,2012.06.10 01:56:42,A,64.880,-147.871,201,,,,,,,,,2012.06.10 01:56:42,M,3,,,,
2012.06.10 01:58:45,2012.06.10 01:58:45,,,,,,,,,,,,Hit,2012.06.10 01:58:45,M,2,No,Yes,No,Invalid Page
2012.06.15 00:28:31,2012.06.15 00:28:31,,,,,,,,,,,,Hit,2012.06.15 00:28:31,N,1,No,No,,CRC Error
2012.06.15 00:30:33,2012.06.15 00:30:33,A,64.877,-147.873,187,,,,,,,,,2012.06.15 00:30:33,N,3,,,,
2012.06.15 00:32:37,2012.06.15 00:32:37,,,,,,,,,,,,Hit,2012.06.15 00:32:37,N,1,No,No,,CRC Error
2012.06.15 00:34:40,2012.06.15 00:34:40,,,,,,,,,,,,Hit,2012.06.15 00:34:40,N,1,No,No,No,Invalid Page
2012.06.15 00:40:49,2012.06.15 00:40:49,,,,,,,,,,,,Hit,2012.06.15 00:40:49,P,1,No,No,No,Invalid Page
2012.06.15 00:42:51,2012.06.15 00:42:51,2,64.881,-147.863,195,,,,,,,,,2012.06.15 00:42:51,K,5,,,,
2012.06.15 00:42:51,2012.06.15 00:42:51,A,64.879,-147.879,195,,,,,,,,,2012.06.15 00:42:51,P,3,,,,
2012.06.15 00:42:52,2012.06.15 00:42:52,,,,,,,,,,,,Hit,2012.06.15 00:42:52,P,1,No,No,No,Invalid Page
2012.06.15 00:44:55,2012.06.15 00:44:55,,,,,,,,,,,,Hit,2012.06.15 00:44:55,P,1,No,No,No,Invalid Page
2012.06.15 00:46:57,2012.06.15 00:46:57,B,64.879,-147.877,195,,,,,,,,,2012.06.15 00:46:57,A,1,,,,
2012.06.15 00:46:58,2012.06.15 00:46:58,,,,,,,,,,,,Hit,2012.06.15 00:46:58,A,1,No,No,No,Invalid Page
2012.06.15 00:46:58,2012.06.15 00:46:58,,,,,,,,,,,,Hit,2012.06.15 00:46:58,K,1,No,No,,CRC Error
2012.06.15 00:49:01,2012.06.15 00:49:01,,,,,,,,,,,,Hit,2012.06.15 00:49:01,K,2,No,No,No,Invalid Page
2012.06.15 00:51:04,2012.06.15 00:51:04,,,,,,,,,,,,Hit,2012.06.15 00:51:04,K,2,No,No,No,Invalid Page
2012.06.15 01:36:09,2012.06.15 01:36:09,3,64.876,-147.870,185,,,,,,,,,2012.06.15 01:36:09,L,4,,,,
2012.06.15 01:38:13,2012.06.15 01:38:13,,,,,,,,,,,,Hit,2012.06.15 01:38:13,L,1,No,No,No,Invalid Page
2012.06.15 01:39:14,2012.06.15 01:39:14,3,64.875,-147.877,181,,,,,,,,,2012.06.15 01:39:14,M,5,,,,
2012.06.15 01:40:16,2012.06.15 01:40:16,,,,,,,,,,,,Hit,2012.06.15 01:40:16,L,2,No,No,No,Invalid Page
2012.06.15 01:42:19,2012.06.15 01:42:19,,,,,,,,,,,,Hit,2012.06.15 01:42:19,L,4,No,No,No,Invalid Page
2012.06.15 01:44:22,2012.06.15 01:44:22,,,,,,,,,,,,Hit,2012.06.15 01:44:22,M,2,No,No,No,Invalid Page
2012.06.19 20:12:19,2012.06.19 20:12:19,,,,,,,,,,,,Hit,2012.06.19 20:12:19,N,1,No,Yes,No,Invalid Page
2012.06.19 20:14:22,2012.06.19 20:14:22,,,,,,,,,,,,Hit,2012.06.19 20:14:22,N,1,No,Yes,No,Invalid Page
2012.06.19 20:15:23,2012.06.19 20:15:23,3,64.884,-147.861,210,,,,,,,,,2012.06.19 20:15:23,N,4,,,,
2012.06.19 20:16:25,2012.06.19 20:16:25,,,,,,,,,,,,Hit,2012.06.19 20:16:25,N,1,No,Yes,No,Invalid Page
2012.06.19 20:18:28,2012.06.19 20:18:28,,,,,,,,,,,,Hit,2012.06.19 20:18:28,N,1,No,Yes,No,Invalid Page
2012.06.19 20:22:34,2012.06.19 20:22:34,,,,,,,,,,,,Hit,2012.06.19 20:22:34,P,1,No,Yes,,CRC Error
